DBCODE,ENTITY,SITECODE,AIRTEMP_METHOD,HEIGHT,QC_LEVEL,PROBE_CODE,DATE_TIME,AIRTEMP_MEAN,AIRTEMP_MEAN_FLAG,EVENT_CODE
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 18:30:00,15.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 18:45:00,14.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 19:00:00,13.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 19:15:00,12.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 19:30:00,12.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 19:45:00,11.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 20:00:00,11.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 20:15:00,11.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 20:30:00,11.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 20:45:00,11.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 21:00:00,10.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 21:15:00,10.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 21:30:00,10.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 21:45:00,10.6,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 22:00:00,10.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 22:15:00,10.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 22:30:00,10.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 22:45:00,10.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 23:00:00,10.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 23:15:00,10.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 23:30:00,10.0,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-24 23:45:00,9.9,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 00:00:00,9.8,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 00:15:00,9.7,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 00:30:00,9.5,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 00:45:00,9.4,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 01:00:00,9.3,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 01:15:00,9.2,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 01:30:00,9.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 01:45:00,9.1,A,"NA"
MS001,11,"CENMET","AIR030",450,2A,"AIRCEN01",1995-08-25 02:00:00,9.0,A,"NA"
