"DBCODE","ENTITY","SITECODE","AIRTEMP_METHOD","HEIGHT","QC_LEVEL","PROBE_CODE","DATE_TIME","AIRTEMP_MEAN","AIRTEMP_MEAN_FLAG","EVENT_CODE"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 17:15:00",16.5,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 17:30:00",15.9,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 17:45:00",15.4,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 18:00:00",14.9,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 18:15:00",14.3,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 18:30:00",13.9,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 18:45:00",13.4,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 19:00:00",13,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 19:15:00",12.7,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 19:30:00",12.5,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 19:45:00",12.2,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 20:00:00",12,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 20:15:00",11.8,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 20:30:00",11.6,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 20:45:00",11.4,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 21:00:00",11.2,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-14 21:15:00",11,"A","NA"
