"res_site_id","site_id","site_code","station","sampledate","variable","value","flag","last_update"
"43","1","AND","CS2MET","1957-12-28T00:00:00.000Z","PREC","29.2","","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1957-12-29T00:00:00.000Z","PREC","6.9","","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1957-12-30T00:00:00.000Z","PREC","0.0","","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1957-12-31T00:00:00.000Z","PREC","0.0","E","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1958-01-01T00:00:00.000Z","PREC","2.8","E","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1958-01-02T00:00:00.000Z","PREC","3.8","E","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1958-01-03T00:00:00.000Z","PREC","0.0","E","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1958-01-04T00:00:00.000Z","PREC","0.0","","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1958-01-05T00:00:00.000Z","PREC","0.0","","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1958-01-06T00:00:00.000Z","PREC","0.0","","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1958-01-07T00:00:00.000Z","PREC","0.0","","2002-04-24T09:58:23.373Z"
"43","1","AND","CS2MET","1958-01-08T00:00:00.000Z","PREC","8.1","","2002-04-24T09:58:23.373Z"
