DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode,QualifierCode
11.6,1994-09-14T09:15:00Z,-8,1994-09-14T17:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
12.3,1994-09-14T09:30:00Z,-8,1994-09-14T17:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
13.7,1994-09-14T09:45:00Z,-8,1994-09-14T17:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
15,1994-09-14T10:00:00Z,-8,1994-09-14T18:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
16.3,1994-09-14T10:15:00Z,-8,1994-09-14T18:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
17.4,1994-09-14T10:30:00Z,-8,1994-09-14T18:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
18,1994-09-14T10:45:00Z,-8,1994-09-14T18:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
18.5,1994-09-14T11:00:00Z,-8,1994-09-14T19:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
19.4,1994-09-14T11:15:00Z,-8,1994-09-14T19:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
20.4,1994-09-14T11:30:00Z,-8,1994-09-14T19:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
21.5,1994-09-14T11:45:00Z,-8,1994-09-14T19:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
22.8,1994-09-14T12:00:00Z,-8,1994-09-14T20:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.5,1994-09-14T12:15:00Z,-8,1994-09-14T20:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.5,1994-09-14T12:30:00Z,-8,1994-09-14T20:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.6,1994-09-14T12:45:00Z,-8,1994-09-14T20:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.5,1994-09-14T13:00:00Z,-8,1994-09-14T21:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.6,1994-09-14T13:15:00Z,-8,1994-09-14T21:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.5,1994-09-14T13:30:00Z,-8,1994-09-14T21:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.2,1994-09-14T13:45:00Z,-8,1994-09-14T21:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
22.9,1994-09-14T14:00:00Z,-8,1994-09-14T22:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.8,1994-09-14T14:15:00Z,-8,1994-09-14T22:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
22.3,1994-09-14T14:30:00Z,-8,1994-09-14T22:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
21.1,1994-09-14T14:45:00Z,-8,1994-09-14T22:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
21.7,1994-09-14T15:00:00Z,-8,1994-09-14T23:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
22.5,1994-09-14T15:15:00Z,-8,1994-09-14T23:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.1,1994-09-14T15:30:00Z,-8,1994-09-14T23:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
22,1994-09-14T15:45:00Z,-8,1994-09-14T23:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
21.7,1994-09-14T16:00:00Z,-8,1994-09-15T00:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
20.2,1994-09-14T16:15:00Z,-8,1994-09-15T00:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
18.9,1994-09-14T16:30:00Z,-8,1994-09-15T00:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
17.9,1994-09-14T16:45:00Z,-8,1994-09-15T00:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
